# KIC02697935_morp_-1.0_T0_55008.46944_P_21.5133595.csv, none
# name, value
id,KIC02697935_morp_-1.0_T0_55008.46944_P_21.5133595.csv,target identifier
log_sb_phys,-0.7593121158343387,log of surface brightness ratio of the physical model
e_phys,0.4220173091133098,eccentricity of the physical model
w_phys,6.257749716886905,argument of periastron of the physical model
i_phys,1.5707963267948966,inclination (radians) of the physical model
r_sum_phys,0.27849010022346976,sum of fractional radii of the physical model
r_rat_phys,69.67311476553553,radius ratio of the physical model
sb_rat_phys,0.1740555533060953,surface brightness ratio of the physical model
ecosw_err_l,-1.0,lower HDI error estimate in ecosw
ecosw_err_u,-1.0,upper HDI error estimate in ecosw
esinw_err_l,-1.0,lower HDI error estimate in esinw
esinw_err_u,-1.0,upper HDI error estimate in esinw
cosi_err_l,-1.0,lower HDI error estimate in cosi
cosi_err_u,-1.0,upper HDI error estimate in cosi
phi_0_err_l,-1.0,lower HDI error estimate in phi_0
phi_0_err_u,-1.0,upper HDI error estimate in phi_0
log_rr_err_l,-1.0,lower HDI error estimate in log_rr
log_rr_err_u,-1.0,upper HDI error estimate in log_rr
log_sb_err_l,-1.0,lower HDI error estimate in log_sb
log_sb_err_u,-1.0,upper HDI error estimate in log_sb
e_err_l,-1.0,lower HDI error estimate in e
e_err_u,-1.0,upper HDI error estimate in e
w_err_l,-1.0,lower HDI error estimate in w
w_err_u,-1.0,upper HDI error estimate in w
i_err_l,-1.0,lower HDI error estimate in i
i_err_u,-1.0,upper HDI error estimate in i
r_sum_err_l,-1.0,lower HDI error estimate in r_sum
r_sum_err_u,-1.0,upper HDI error estimate in r_sum
r_rat_err_l,-1.0,lower HDI error estimate in r_rat
r_rat_err_u,-1.0,upper HDI error estimate in r_rat
sb_rat_err_l,-1.0,lower HDI error estimate in sb_rat
sb_rat_err_u,-1.0,upper HDI error estimate in sb_rat
n_param_phys,697.0,number of parameters after physical model optimisation
bic_phys,-465819.13720227114,BIC after physical model optimisation
noise_level_phys,0.0001326596119850876,noise level after physical model optimisation
total_freqs,229,total number of frequencies
passed_sigma,229,number of frequencies that passed the sigma test
passed_snr,136,number of frequencies that passed the S/R test
passed_both,136,number of frequencies that passed both tests
passed_harmonics,103,number of harmonics that passed both tests
std_1,0.0001326596119850876,Standard deviation of the residuals of the linear+sinusoid+eclipse model
